CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,"DESEMPENHO  LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA",MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.1139652E7,CE RAIMUNDO ARAUJO,MA,CHAPADINHA,Estadual,Urbana,304.0,Mais que 90 alunos,194.0,63.81578947368421,0.0,De 60% a 80%,Baixo,Maior que 50%,55.5,74.8,11.0,14.2,553.6466666666668,467.51855670103095,36.08247422680412,56.70103092783505,7.216494845360824,0.0,0.0
2.1142513E7,CE DR PAULO RAMOS,MA,CHAPADINHA,Estadual,Urbana,216.0,Mais que 90 alunos,110.0,50.92592592592593,0.0,80% ou mais,Médio Baixo,Até 50%,43.7,84.4,6.4,9.2,529.4,452.3554545454545,45.45454545454545,48.18181818181818,6.363636363636363,0.0,0.0
2.1194315E7,CE DR OTAVIO VIEIRA PASSOS,MA,CHAPADINHA,Estadual,Urbana,207.0,Mais que 90 alunos,111.0,53.62318840579711,0.0,80% ou mais,Baixo,Até 50%,39.5,77.7,10.6,11.7,529.01,452.13603603603593,49.549549549549546,45.04504504504504,5.405405405405405,0.0,0.0
2.1139687E7,COLEGIO FRANCISCO ALMEIDA CARNEIRO,MA,CHAPADINHA,Privada,Urbana,17.0,De 1 a 30 alunos,15.0,88.23529411764706,0.0,80% ou mais,Médio,Até 50%,42.4,97.7,0.0,2.3,,480.86,26.666666666666668,66.66666666666666,6.666666666666667,0.0,0.0
2.1141908E7,ESCOLA O PEQUENO PRINCIPE,MA,CHAPADINHA,Privada,Urbana,31.0,De 31 a 60 alunos,30.0,96.7741935483871,1.0,80% ou mais,Médio Alto,Maior que 50%,51.4,96.9,3.1,0.0,541.11,541.11,0.0,63.33333333333333,36.666666666666664,0.0,0.0
2.1197913E7,COL BATISTA CHAPADINHENSE,MA,CHAPADINHA,Privada,Urbana,38.0,De 31 a 60 alunos,31.0,81.57894736842105,0.0,De 60% a 80%,Médio,Até 50%,40.0,100.0,0.0,0.0,498.10333333333335,492.55806451612904,32.25806451612903,41.935483870967744,25.806451612903224,0.0,0.0
2.12748E7,COLEGIO NOSSA SENHORA DE FATIMA - CONSEF,MA,CHAPADINHA,Privada,Urbana,38.0,De 31 a 60 alunos,37.0,97.36842105263158,0.0,De 40% a 60%,Médio,Até 50%,36.7,99.0,1.0,0.0,507.3333333333333,488.7270270270271,27.027027027027028,56.75675675675676,16.216216216216218,0.0,0.0
2.134624E7,CE REITOR RIBAMAR CARVALHO,MA,CODO,Estadual,Urbana,124.0,Mais que 90 alunos,64.0,51.61290322580645,0.0,80% ou mais,Muito Baixo,Maior que 50%,57.3,78.9,7.4,13.7,507.0266666666667,461.1125,40.625,56.25,3.125,0.0,0.0
2.1206341E7,INSTITUTO FEDERAL DO MARANHAO - CAMPUS CODO,MA,CODO,Federal,Rural,122.0,Mais que 90 alunos,108.0,88.52459016393442,0.0,De 60% a 80%,Baixo,Maior que 50%,87.9,81.4,14.9,3.7,572.8,511.7972222222222,12.037037037037036,62.96296296296296,25.0,0.0,0.0
2.1148589E7,ESC PEQUENO POLEGAR,MA,CODO,Privada,Urbana,56.0,De 31 a 60 alunos,48.0,85.71428571428571,0.0,De 20% a 40%,Médio Baixo,Até 50%,27.0,98.4,0.5,1.1,511.9633333333333,468.25,45.83333333333333,39.58333333333333,14.583333333333334,0.0,0.0
2.1249881E7,COL BATISTA PASTOR GENESIO GUIMARAES LIMA,MA,CODO,Privada,Urbana,79.0,De 61 a 90 alunos,69.0,87.34177215189874,0.0,De 60% a 80%,Médio Alto,Até 50%,43.9,97.7,1.8,0.5,592.57,536.1536231884058,7.246376811594203,50.72463768115942,36.231884057971016,5.797101449275362,0.0
2.1249911E7,COLEGIO OLYMPUS - YESI,MA,CODO,Privada,Urbana,28.0,De 1 a 30 alunos,23.0,82.14285714285714,0.0,De 60% a 80%,Médio,Até 50%,22.2,94.7,5.3,0.0,,488.004347826087,30.434782608695656,52.17391304347826,17.391304347826086,0.0,0.0
2.115295E7,CE JOSE SARNEY,MA,COELHO NETO,Estadual,Urbana,185.0,Mais que 90 alunos,95.0,51.35135135135135,0.0,80% ou mais,Baixo,Maior que 50%,70.5,67.8,20.0,12.2,525.2066666666666,461.35473684210524,38.94736842105263,57.89473684210527,3.1578947368421053,0.0,0.0
