CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.6107937E7,ESCOLA PROF ANTONIO CARNEIRO LEAO,PE,CAMARAGIBE,Estadual,Urbana,199.0,Mais que 90 alunos,119.0,59.798994974874375,0.0,De 40% a 60%,Médio,Maior que 50%,67.7,72.3,21.3,6.4,545.5033333333333,469.5151260504202,36.97478991596639,53.78151260504202,9.243697478991598,0.0,0.0
2.6107945E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR CARLOS FREDERICO DO REGO MACIEL,PE,CAMARAGIBE,Estadual,Urbana,70.0,De 61 a 90 alunos,58.0,82.85714285714286,0.0,80% ou mais,Médio Baixo,Maior que 50%,68.2,80.6,19.1,0.3,526.7766666666666,483.41724137931044,29.310344827586203,56.896551724137936,13.793103448275861,0.0,0.0
2.6108275E7,ESCOLA SANTA APOLONIA,PE,CAMARAGIBE,Estadual,Urbana,21.0,De 1 a 30 alunos,12.0,57.14285714285714,0.0,80% ou mais,Médio,Maior que 50%,57.4,100.0,0.0,0.0,,470.50833333333327,25.0,66.66666666666666,8.333333333333332,0.0,0.0
2.6176246E7,ESCOLA TECNICA ESTADUAL ALCIDES DO NASCIMENTO LINS,PE,CAMARAGIBE,Estadual,Urbana,43.0,De 31 a 60 alunos,42.0,97.67441860465115,0.0,De 60% a 80%,Sem informação,Maior que 50%,63.6,84.0,16.0,0.0,537.69,506.38809523809533,23.809523809523807,47.61904761904761,26.190476190476193,2.380952380952381,0.0
2.6107503E7,EDUCANDARIO SAO JUDAS TADEU,PE,CAMARAGIBE,Privada,Urbana,54.0,De 31 a 60 alunos,52.0,96.29629629629629,0.0,80% ou mais,Alto,Maior que 50%,51.9,89.7,9.8,0.5,569.6866666666666,516.0038461538461,21.153846153846153,42.30769230769231,32.69230769230769,3.8461538461538463,0.0
2.6108291E7,COLEGIO PADRE ANCHIETA,PE,CAMARAGIBE,Privada,Urbana,30.0,De 1 a 30 alunos,26.0,86.66666666666667,0.0,De 60% a 80%,Médio Alto,Maior que 50%,57.9,100.0,0.0,0.0,,461.1038461538462,42.30769230769231,46.15384615384615,11.538461538461538,0.0,0.0
2.6163411E7,CENTRO EDUC DO CAMARAGIBE - ANGLO LIDER,PE,CAMARAGIBE,Privada,Urbana,53.0,De 31 a 60 alunos,48.0,90.56603773584906,0.0,De 60% a 80%,Médio Alto,Maior que 50%,78.9,99.2,0.8,0.0,551.4733333333334,516.30625,12.5,60.416666666666664,27.083333333333332,0.0,0.0
2.6174588E7,COLEGIO E CURSO OPCAO,PE,CAMARAGIBE,Privada,Urbana,33.0,De 31 a 60 alunos,32.0,96.96969696969697,0.0,De 40% a 60%,Médio Alto,Até 50%,47.7,96.7,3.3,0.0,554.3433333333334,544.884375,9.375,28.125,59.375,3.125,0.0
2.6087715E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO PEDRO TAVARES,PE,CAMUTANGA,Estadual,Urbana,76.0,De 61 a 90 alunos,49.0,64.47368421052632,0.0,80% ou mais,Médio Baixo,Maior que 50%,51.8,85.2,8.4,6.4,484.22999999999996,451.34285714285716,53.06122448979592,44.89795918367347,2.0408163265306123,0.0,0.0
2.6053608E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO NOSSA SENHORA DO PERPETUO SOCORRO,PE,CAPOEIRAS,Estadual,Urbana,192.0,Mais que 90 alunos,104.0,54.166666666666664,0.0,80% ou mais,Baixo,Maior que 50%,55.9,89.8,4.5,5.7,528.7933333333333,464.5,40.38461538461539,53.84615384615385,5.769230769230769,0.0,0.0
