CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
3.1159662E7,EE AURELIO LUIZ DA COSTA,MG,UBERABA,Estadual,Urbana,169.0,Mais que 90 alunos,98.0,57.98816568047337,0.0,80% ou mais,Médio Alto,Maior que 50%,85.3,83.2,13.1,3.7,598.9833333333333,537.645918367347,6.122448979591836,47.95918367346938,45.91836734693878,0.0,0.0
3.1159671E7,EE MARECHAL HUMBERTO ALENCAR CASTELO BRANCO,MG,UBERABA,Estadual,Urbana,179.0,Mais que 90 alunos,105.0,58.659217877094974,0.0,De 60% a 80%,Alto,Maior que 50%,71.6,74.7,24.7,0.6,615.5400000000001,560.3523809523809,2.857142857142857,35.23809523809524,59.04761904761905,2.857142857142857,0.0
3.1159751E7,EE MINAS GERAIS,MG,UBERABA,Estadual,Urbana,247.0,Mais que 90 alunos,166.0,67.20647773279353,0.0,De 60% a 80%,Alto,Maior que 50%,72.7,87.6,7.9,4.5,627.9666666666667,558.3216867469881,5.421686746987952,37.34939759036144,55.42168674698795,1.8072289156626504,0.0
3.1159891E7,EE PAULO JOSE DERENUSSON,MG,UBERABA,Estadual,Urbana,71.0,De 61 a 90 alunos,40.0,56.33802816901409,0.0,80% ou mais,Médio Alto,Maior que 50%,78.8,59.1,26.5,14.4,549.9566666666667,522.2525,15.0,50.0,35.0,0.0,0.0
3.1159972E7,EE PROFESSORA CORINA DE OLIVEIRA,MG,UBERABA,Estadual,Urbana,266.0,Mais que 90 alunos,214.0,80.45112781954887,0.0,De 60% a 80%,Alto,Maior que 50%,90.6,87.8,10.1,2.1,643.24,558.9705607476635,4.672897196261682,38.78504672897196,52.336448598130836,4.205607476635514,0.0
3.1160075E7,EE QUINTILIANO JARDIM,MG,UBERABA,Estadual,Urbana,119.0,Mais que 90 alunos,61.0,51.26050420168067,2.0,De 60% a 80%,Médio Alto,Maior que 50%,83.1,66.9,11.2,21.9,588.94,543.3540983606558,4.918032786885246,42.62295081967213,49.18032786885246,3.278688524590164,0.0
3.116013E7,EE SANTA TEREZINHA,MG,UBERABA,Estadual,Urbana,58.0,De 31 a 60 alunos,30.0,51.724137931034484,0.0,De 60% a 80%,Médio Alto,Maior que 50%,83.5,76.5,11.1,12.4,521.1033333333334,521.1033333333334,26.666666666666668,26.666666666666668,43.333333333333336,3.3333333333333335,0.0
3.1160164E7,EE IRMAO AFONSO,MG,UBERABA,Estadual,Urbana,123.0,Mais que 90 alunos,70.0,56.91056910569105,0.0,80% ou mais,Médio Alto,Maior que 50%,79.4,83.0,9.6,7.4,600.9033333333334,548.0957142857143,7.142857142857142,40.0,48.57142857142857,4.285714285714286,0.0
3.1160253E7,COLEGIO TIRADENTES PMMG,MG,UBERABA,Estadual,Urbana,94.0,Mais que 90 alunos,81.0,86.17021276595744,0.0,80% ou mais,Alto,Maior que 50%,69.4,96.8,3.2,0.0,643.7366666666668,592.7234567901235,1.2345679012345678,18.51851851851852,69.1358024691358,11.11111111111111,0.0
3.1342556E7,EE ALOIZIO CASTANHEIRA,MG,UBERABA,Estadual,Urbana,25.0,De 1 a 30 alunos,13.0,52.0,0.0,80% ou mais,Médio,Até 50%,24.4,83.6,16.4,0.0,,550.9307692307692,0.0,53.84615384615385,46.15384615384615,0.0,0.0
3.1158151E7,INSTITUTO FEDERAL DO TRIANGULO MINEIRO - CAMPUS UBERABA,MG,UBERABA,Federal,Urbana,77.0,De 61 a 90 alunos,75.0,97.40259740259741,0.0,80% ou mais,Alto,Maior que 50%,83.3,95.2,4.4,0.4,674.1100000000001,630.9346666666667,0.0,4.0,60.0,36.0,0.0
3.1166332E7,COLEGIO MARISTA DIOCESANO,MG,UBERABA,Privada,Urbana,68.0,De 61 a 90 alunos,62.0,91.17647058823529,0.0,De 60% a 80%,Muito Alto,Maior que 50%,63.1,95.4,4.6,0.0,679.1433333333333,638.3193548387097,0.0,6.451612903225806,56.451612903225815,35.483870967741936,1.6129032258064515
3.1166359E7,ASSEIJ-NOSSA SENHORA DAS DORES,MG,UBERABA,Privada,Urbana,39.0,De 31 a 60 alunos,36.0,92.3076923076923,0.0,80% ou mais,Muito Alto,Maior que 50%,80.3,95.9,4.1,0.0,632.5833333333334,619.2194444444444,0.0,5.555555555555555,69.44444444444444,25.0,0.0
3.1166375E7,COL N SRA DAS GRACAS,MG,UBERABA,Privada,Urbana,35.0,De 31 a 60 alunos,22.0,62.857142857142854,0.0,80% ou mais,Muito Alto,Maior que 50%,58.5,98.8,1.2,0.0,,568.7045454545455,0.0,31.818181818181817,63.63636363636363,4.545454545454546,0.0
3.1166391E7,COLEGIO OSVALDO CRUZ,MG,UBERABA,Privada,Urbana,70.0,De 61 a 90 alunos,67.0,95.71428571428572,0.0,De 40% a 60%,Muito Alto,Maior que 50%,61.4,97.1,2.9,0.0,691.5833333333334,641.9701492537314,0.0,2.9850746268656714,55.223880597014926,40.298507462686565,1.4925373134328357
3.1166456E7,COL RUBEM ALVES,MG,UBERABA,Privada,Urbana,33.0,De 31 a 60 alunos,27.0,81.81818181818183,0.0,De 60% a 80%,Alto,Maior que 50%,68.2,98.1,0.9,1.0,,600.574074074074,3.7037037037037033,3.7037037037037033,77.77777777777779,11.11111111111111,3.7037037037037033
3.1166481E7,COLEGIO CENECISTA DR JOSE FERREIRA,MG,UBERABA,Privada,Urbana,233.0,Mais que 90 alunos,225.0,96.56652360515021,0.0,80% ou mais,Muito Alto,Maior que 50%,63.9,96.6,3.2,0.2,734.9766666666668,641.2386666666667,1.3333333333333335,3.5555555555555554,50.22222222222222,41.333333333333336,3.5555555555555554
3.1243418E7,COLEGIO OPCAO,MG,UBERABA,Privada,Urbana,25.0,De 1 a 30 alunos,22.0,88.0,0.0,De 60% a 80%,Muito Alto,Até 50%,50.0,100.0,0.0,0.0,,612.3863636363636,0.0,9.090909090909092,59.09090909090909,31.818181818181817,0.0
3.1260762E7,COLEGIO LICEU ALBERT EINSTEIN,MG,UBERABA,Privada,Urbana,43.0,De 31 a 60 alunos,42.0,97.67441860465115,0.0,De 40% a 60%,Alto,Até 50%,48.9,91.9,8.1,0.0,612.1633333333333,588.9642857142857,2.380952380952381,14.285714285714285,69.04761904761905,14.285714285714285,0.0
3.1278084E7,SESI ESC ALBERTO MARTINS F BORGES,MG,UBERABA,Privada,Urbana,23.0,De 1 a 30 alunos,22.0,95.65217391304348,0.0,80% ou mais,Muito Alto,Até 50%,50.0,93.6,5.1,1.3,,622.3909090909092,0.0,9.090909090909092,63.63636363636363,27.27272727272727,0.0
3.1320536E7,SISTEMA APOIO DE ENSINO,MG,UBERABA,Privada,Urbana,36.0,De 31 a 60 alunos,34.0,94.44444444444444,1.0,De 60% a 80%,Muito Alto,Maior que 50%,62.7,96.7,3.3,0.0,614.1800000000001,601.1029411764706,0.0,17.647058823529413,58.82352941176471,23.52941176470588,0.0
3.1354562E7,COLEGIO GABARITO,MG,UBERABA,Privada,Urbana,42.0,De 31 a 60 alunos,37.0,88.09523809523809,0.0,Menos de 20%,Muito Alto,Maior que 50%,70.0,97.4,2.6,0.0,646.0366666666667,628.4,0.0,8.108108108108109,56.75675675675676,32.432432432432435,2.7027027027027026
3.1167231E7,EE FELISBERTO ALVES CARREJO,MG,UBERLANDIA,Estadual,Urbana,29.0,De 1 a 30 alunos,15.0,51.724137931034484,0.0,Menos de 20%,Médio Alto,Maior que 50%,67.1,88.8,11.2,0.0,,523.2733333333333,6.666666666666667,60.0,33.33333333333333,0.0,0.0
